Area;Application;Possible Task;Description;Reference papers
Recruiting Employees;Application and resume review;Clustering/classification;Application and resume review & Classification & Identifies the resume which contains the specified keywords, leveraging social data to identify candidates. Helps by reducing the costs of doing this process manually.;"Guo, Shiqiang, Folami Alamudun, and Tracy Hammond. ""RésuMatcher: A personalized résumé-job matching system."" Expert Systems with Applications 60 (2016): 169-182.
Roy, Pradeep Kumar, Sarabjeet Singh Chowdhary, and Rocky Bhatia. ""A Machine Learning approach for automation of Resume Recommendation system."" Procedia Computer Science 167 (2020): 2318-2327."
;Talent scouting;Classification;Improves the selection of applicants by narrowing down to the top candidates based on key attributes. Helps by reducing the costs of doing this process manually.;"Luo, Yong, Huaizheng Zhang, Yongjie Wang, Yonggang Wen, and Xinwen Zhang. ""ResumeNet: A learning-based framework for automatic resume quality assessment."" In 2018 IEEE International Conference on Data Mining (ICDM), pp. 307-316. IEEE, 2018.
Cowgill, Bo. ""Automating judgement and decision-making: Theory and evidence from résumé screening."" In Columbia University, 2015 empirical management conference. 2017."
Retaining Employees;Scheduling;Clustering/classification;Improves and optimizes the scheduling by a company. Can give the employees the autonomy they crave while still filling the work needs and fix time-off requests. Helps by increasing the satisfaction of the employees while also reducing the costs of manually planning the schedule.;"Alex, Anu P., Manju V. Saraswathy, and Kuncheria P. Isaac. ""Modelling of Daily Activity Schedule of Workers Using Unsupervised Machine Learning Technique."" International Journal for Traffic and Transport Engineering 6, no. 1 (2016): 77-91.
Hsie, Machine, Wen-ta Hsiao, Tao-ming Cheng, and Hsieh-ching Chen. ""A model used in creating a work-rest schedule for laborers."" Automation in Construction 18, no. 6 (2009): 762-769."
;Employee Development;Classification;Identifies the engagement of the employees and the quality of their work. By doing this employees who are ready for new challenges or need additional training can be identified. Helps by retaining the in-house talent and also by increasing the productivity.;"Ajit, Pankaj. ""Prediction of employee turnover in organizations using machine learning algorithms."" algorithms 4, no. 5 (2016): C5.
Sisodia, Dilip Singh, Somdutta Vishwakarma, and Abinash Pujahari. ""Evaluation of machine learning models for employee churn prediction."" In 2017 International Conference on Inventive Computing and Informatics (ICICI), pp. 1016-1020. IEEE, 2017."
Marketing;Customer Churn;Classification;Improves and optimizes the scheduling in the company. Can give the employees the autonomy they crave while still filling the work needs and fix time-off requests. Helps by increasing the satisfaction of the employees while also reducing the costs of manually planning the schedule.;"Vafeiadis, Thanasis, Konstantinos I. Diamantaras, George Sarigiannidis, and K. Ch Chatzisavvas. ""A comparison of machine learning techniques for customer churn prediction."" Simulation Modelling Practice and Theory 55 (2015): 1-9.
Xie, Yaya, Xiu Li, E. W. T. Ngai, and Weiyun Ying. ""Customer churn prediction using improved balanced random forests."" Expert Systems with Applications 36, no. 3 (2009): 5445-5449."
;Top Leads;Classification;Identifies which potential leads are most likely to convert to paying customers. Helps by increasing the number of qualified leads sent to sales.;"Carlos, Cohan Sujay, and Madhulika Yalamanchi. ""Intention analysis for sales, marketing and customer service."" In Proceedings of COLING 2012: Demonstration Papers, pp. 33-40. 2012."
;Upsell;Classification;Identifies opportunities to encourage a customer to purchase more expensive items, upgrades or other add-ons by learning from previous purchases. Helps by increasing revenue and customer satisfaction.;"Filipyev, Andrey. ""Improving upsell by clustering customers’ orders: machine learning approach."" Системный анализ в науке и образовании 3 (2018): 84-93."
;Marketing Assistance;Classification/Clustering;Improves the assistance in making key decisions about allocating marketing resources. Helps by increasing sales and the customer base.;"Miklosik, Andrej, Martin Kuchta, Nina Evans, and Stefan Zak. ""Towards the adoption of machine learning-based analytical tools in digital marketing."" IEEE Access 7 (2019): 85705-85718."
;Customer Segmentation;Clustering;Improves the marketing strategy by segmenting the customers into different groups. By doing this, the different needs of customers can be identified. Helps by retaining the size of the customer base and by increasing sales.;"
Wu, Roung-Shiunn, and Po-Hsuan Chou. ""Customer segmentation of multiple category data in e-commerce using a soft-clustering approach."" Electronic Commerce Research and Applications 10, no. 3 (2011): 331-341.
Ezenkwu, Chinedu Pascal, Simeon Ozuomba, and Constance Kalu. ""Application of K-Means algorithm for efficient customer segmentation: a strategy for targeted customer services."" (2015)."
Advertisement;Product Recommendation;Clustering/classification;Improves the customer’s experience by recommending relevant products. Helps by generating additional revenue.;"Choi, Keunho, Donghee Yoo, Gunwoo Kim, and Yongmoo Suh. ""A hybrid online-product recommendation system: Combining implicit rating-based collaborative filtering and sequential pattern analysis."" electronic commerce research and applications 11, no. 4 (2012): 309-317."
